id,area,gender,age,age_group,year_of_school,degree,job,know_english,know_france,know_chinese,income
163,central,male,65,middle,15,bachelor,officer,0,0,1,12480
164,southern,female,73,elder,12,highshool,sale,0,0,0,8340
165,central,male,71,elder,15,bachelor,sale,0,0,0,12660
166,central,male,56,middle,17,master,officer,1,0,0,16080
167,northern,male,67,middle,12,highshool,officer,1,0,0,10500
168,northern,female,65,middle,12,highshool,officer,1,0,0,9420
169,northern,male,63,middle,15,bachelor,officer,1,0,0,11100
170,central,male,65,middle,19,master,manager,1,0,1,19020
171,northern,male,70,elder,14,bachelor,sale,0,0,0,11220
172,central,male,57,middle,18,master,sale,1,0,1,29500
173,central,male,67,middle,16,master,sale,1,0,1,23500
174,central,male,55,middle,16,master,manager,0,0,0,26400
175,northern,female,64,middle,12,highshool,sale,1,1,0,9900
176,northern,male,66,middle,15,bachelor,officer,0,0,0,10380
177,central,male,66,middle,15,bachelor,officer,1,0,1,12600
178,central,male,69,middle,15,bachelor,officer,1,0,1,16080
179,northern,male,62,middle,15,bachelor,officer,0,0,0,10920
180,southern,female,71,elder,12,highshool,sale,1,0,0,8820
181,southern,male,52,middle,12,highshool,officer,1,1,0,7860
182,central,male,69,middle,19,master,manager,0,0,0,24750
183,southern,female,48,middle,12,highshool,officer,0,0,0,9240
184,central,female,66,middle,16,master,officer,0,0,0,15540
185,central,male,64,middle,15,bachelor,sale,0,0,0,12660
186,northern,female,42,middle,12,highshool,officer,1,0,0,12000
187,central,male,53,middle,12,highshool,sale,0,0,0,12300
188,southern,female,34,youth,12,highshool,officer,0,0,0,8400
189,northern,male,50,middle,8,highshool,sale,0,0,0,12000
190,northern,male,68,middle,12,highshool,officer,0,0,1,11640
191,southern,male,38,youth,15,bachelor,officer,1,0,1,8520
192,northern,male,50,middle,17,master,officer,1,1,0,10800
193,northern,female,72,elder,12,highshool,officer,0,0,0,10380
194,central,male,68,middle,16,master,sale,0,0,0,22600
195,central,female,69,middle,16,master,sale,0,0,0,17200
196,central,male,68,middle,15,bachelor,sale,0,0,0,12480
197,central,female,66,middle,8,highshool,officer,0,0,0,12540
198,northern,male,63,middle,16,master,sale,1,0,0,10620
199,central,male,66,middle,19,master,officer,0,0,0,14400
200,southern,female,41,middle,12,highshool,officer,0,0,0,9000
201,central,male,64,middle,15,bachelor,sale,0,0,1,13260
202,northern,female,48,middle,15,bachelor,officer,0,0,0,10320
203,central,male,59,middle,19,master,manager,1,1,1,36500
204,central,male,63,middle,15,bachelor,officer,1,0,1,15720
205,central,male,56,middle,18,master,manager,1,0,0,22000
206,northern,male,67,middle,12,highshool,officer,0,0,0,10140
207,central,male,70,elder,12,highshool,sale,0,0,0,13416
208,central,male,68,middle,15,bachelor,officer,1,0,0,12360
209,northern,male,50,middle,15,bachelor,officer,0,0,1,11460
210,central,male,66,middle,19,master,sale,1,0,1,22200
211,central,male,65,middle,15,bachelor,officer,0,0,0,13560
212,northern,male,69,middle,15,bachelor,officer,0,0,0,10560
213,central,male,65,middle,15,bachelor,sale,0,0,0,16800
214,central,male,51,middle,17,master,manager,0,0,0,33000
215,northern,female,72,elder,12,highshool,sale,0,0,0,10680
216,northern,female,71,elder,12,highshool,sale,0,0,0,9600
217,northern,male,55,middle,15,bachelor,sale,0,0,0,9720
218,northern,male,68,middle,15,bachelor,sale,0,0,0,11940
219,central,male,34,youth,8,highshool,sale,1,0,0,12300
220,central,male,66,middle,15,bachelor,manager,0,0,0,21960
221,central,male,58,middle,12,highshool,sale,1,0,0,12480
222,northern,male,67,middle,14,bachelor,officer,0,0,0,10380
223,central,male,72,elder,12,highshool,officer,1,0,0,12600
224,central,male,67,middle,16,master,manager,0,0,0,18900
225,southern,female,72,elder,12,highshool,sale,0,0,0,8520
226,central,male,67,middle,15,bachelor,officer,0,0,0,12960
227,central,male,42,middle,12,highshool,sale,0,0,0,14100
