id,area,gender,age,age_group,year_of_school,degree,job,know_english,know_france,know_chinese,income
18,northern,female,71,elder,12,highshool,sale,1,0,0,11400
19,northern,male,66,middle,15,bachelor,officer,1,1,,11220
20,southern,female,55,middle,12,highshool,officer,1,0,0,9000
21,central,male,63,middle,16,master,officer,0,0,0,14400
22,central,male,66,middle,15,bachelor,officer,1,0,0,14100
23,northern,male,62,middle,12,highshool,officer,1,0,0,9600
24,northern,male,,middle,15,bachelor,officer,0,0,0,
25,central,male,66,middle,16,master,sale,1,0,0,19200
26,southern,female,34,youth,8,highshool,officer,1,0,0,6660
27,central,male,68,middle,15,bachelor,officer,1,0,1,14100
28,northern,female,69,middle,15,bachelor,sale,0,0,0,9660
29,central,male,67,middle,16,master,sale,0,0,0,33500
30,northern,female,63,middle,12,highshool,officer,0,1,0,9600
31,central,female,65,middle,16,master,manager,0,0,0,22700
32,northern,female,73,elder,12,highshool,sale,1,0,0,9780
33,central,male,57,middle,16,master,manager,1,1,1,41400
34,central,male,70,elder,15,bachelor,sale,0,0,0,15660
35,southern,female,70,elder,12,highshool,officer,0,0,0,8760
36,central,male,62,middle,19,master,manager,1,1,,30000
37,central,female,70,elder,15,bachelor,officer,1,0,0,13320
38,central,male,49,middle,16,master,manager,0,0,0,20000
39,central,male,63,middle,17,master,sale,0,0,1,27500
40,central,male,67,middle,12,highshool,officer,0,0,0,14280
41,southern,female,47,middle,12,highshool,officer,1,0,0,7860
42,central,male,56,middle,15,bachelor,manager,1,0,,22800
43,central,male,61,middle,16,master,officer,1,0,0,16080
44,northern,male,63,middle,15,bachelor,sale,0,0,0,11100
45,central,male,48,middle,8,highshool,sale,0,0,0,12300
46,central,female,70,elder,15,bachelor,sale,0,1,0,12540
47,central,female,65,middle,16,master,officer,0,1,0,13920
48,southern,female,72,elder,12,highshool,sale,1,0,0,8880
49,northern,male,62,middle,8,highshool,sale,1,1,0,11820
50,central,female,66,middle,16,master,sale,0,0,0,13764
51,central,male,68,middle,16,master,sale,1,0,0,16080
52,central,male,41,middle,12,highshool,sale,0,0,0,12300
53,northern,female,74,elder,8,highshool,sale,1,0,0,11640
54,northern,female,72,elder,12,highshool,sale,0,0,0,9960
55,southern,male,72,elder,8,highshool,officer,1,0,0,8520
